rank,grade,channelName,videoUploads,subscribers,videoViews
1st,King ,PewDiePie,82757,90196302,30869786591
2nd,A++ ,T-Series,12661,61196302,47548839843
3rd,A++ ,Cocomelon - Nursery Rhymes,373,19238251,9793305082
4th,A++ ,SET India,27323,31180559,22675948293
5th,A++ ,WWE,36756,32852346,26273668433
6th,A++ ,Movieclips,30243,17149705,16618094724
7th,A++ ,netd müzik,8500,11373567,23898730764
8th,A++ ,ABS-CBN Entertainment,100147,12149206,17202609850
9th,A++ ,Ryan ToysReview,1140,16082927,24518098041
10th,A++ ,Zee Marathi,74607,2841811,2591830307
11th,A+ ,5-Minute Crafts,2085,33492951,8587520379
12th,A+ ,Canal KondZilla,822,39409726,19291034467
13th,A+ ,Like Nastya Vlog,150,7662886,2540099931
14th,A+ ,Ozuna,50,18824912,8727783225
15th,A+ ,Wave Music,16119,15899764,10989179147
16th,A+ ,Ch3Thailand,49239,11569723,9388600275
17th,A+ ,WORLDSTARHIPHOP,4778,15830098,11102158475
18th,A+ ,Vlad and Nikita,53,-- ,1428274554
19th,A+ ,Badabun,3060,23603062,5860444053
20th,A+ ,WorkpointOfficial,24287,17687229,14022189654
21st,A+ ,xxxtentacion,48,11593509,2029279311
22nd,A+ ,Zee Music Company,3403,23440427,11666909155
23rd,A+ ,SAB TV,19358,11347420,9572788450
24th,A+ ,DeadloxMC,1833,2137907,245437560
25th,A+ ,ETV Andhra Pradesh,186194,712562,349096736
26th,A+ ,Shemaroo Filmi Gaane,5076,14469618,6585569190
27th,A+ ,ibighit,277,16924523,3437613314
28th,A+ ,El Reino Infantil,555,15836366,16395683234
29th,A+ ,Zee Telugu,92250,2902714,2754482753
30th,A+ ,Kirin AMV's,230,459906,224608044
31st,A+ ,Zee Bangla,79497,3102246,2867901827
32nd,A+ ,Stacy Toys,91,5992452,1576070985
33rd,A+ ,Toys and Colors,127,4746069,2250065105
34th,A+ ,InfantiLandia,710,7504480,2135402141
35th,A+ ,Top Breaking News,848,1120620,291002673
36th,A+ ,Colors TV,23504,12466776,8354699608
37th,A+ ,Goldmines Telefilms,206,14011180,555853544
38th,A+ ,one31,47805,10878372,7614312491
39th,A+ ,[토이푸딩] ToyPudding TV,2201,18777612,11920370065
40th,A+ ,CKN Toys,431,8816598,7498069721
41st,A+ ,GMA Network,65757,6270681,7373478009
42nd,A+ ,Zé Neto e Cristiano,102,6154173,3232954352
43rd,A+ ,Inside Edition,14643,4391875,5542203386
44th,A+ ,GRAMMY GOLD OFFICIAL,2943,7385239,6480263464
45th,A+ ,RedeTV,15672,5604245,3317197927
46th,A+ ,Bouncing Baby TV,30,2869857,493923518
47th,A+ ,Speed Records,5704,14903053,7823927253
